gid,row,col,xcoord,ycoord,agri_gc
"49182","69","222","-69.25","-55.75","0.04938272"
"49183","69","223","-68.75","-55.75","0.01851852"
"49184","69","224","-68.25","-55.75","1.62037"
"49185","69","225","-67.75","-55.75","0.4660494"
"49186","69","226","-67.25","-55.75","0.941358"
"49898","70","218","-71.25","-55.25","0"
"49899","70","219","-70.75","-55.25","0.5864198"
"49900","70","220","-70.25","-55.25","0.9607121"
"49901","70","221","-69.75","-55.25","0.5925926"
"49902","70","222","-69.25","-55.25","2.398148"
"49903","70","223","-68.75","-55.25","2.608025"
"49904","70","224","-68.25","-55.25","2.567901"
"49905","70","225","-67.75","-55.25","4.305555"
"49906","70","226","-67.25","-55.25","7.037037"
"49907","70","227","-66.75","-55.25","3.848765"
"49908","70","228","-66.25","-55.25","0.5959032"
"50616","71","216","-72.25","-54.75","0"
"50617","71","217","-71.75","-54.75","0"
"50618","71","218","-71.25","-54.75","0.5771605"
"50619","71","219","-70.75","-54.75","3.737654"
"50620","71","220","-70.25","-54.75","1.715777"
"50621","71","221","-69.75","-54.75","1.04321"
"50622","71","222","-69.25","-54.75","0.4567901"
"50623","71","223","-68.75","-54.75","3.932099"
"50624","71","224","-68.25","-54.75","2.540123"
"50625","71","225","-67.75","-54.75","4.061728"
"50626","71","226","-67.25","-54.75","6.108025"
"50627","71","227","-66.75","-54.75","3.021605"
"50628","71","228","-66.25","-54.75","1.617008"
"50629","71","229","-65.75","-54.75","0.8827161"
"50630","71","230","-65.25","-54.75","0.5864198"
"50631","71","231","-64.75","-54.75","0.7888275"
"50632","71","232","-64.25","-54.75","0.6728395"
"50633","71","233","-63.75","-54.75","0.1574074"
"51078","71","678","158.75","-54.75","0.1675978"
"51334","72","214","-73.25","-54.25","0.1141975"
"51335","72","215","-72.75","-54.25","0.2160494"
"51336","72","216","-72.25","-54.25","3.947531"
"51337","72","217","-71.75","-54.25","2.237741"
"51338","72","218","-71.25","-54.25","3.885803"
"51339","72","219","-70.75","-54.25","1.87037"
"51340","72","220","-70.25","-54.25","1.866176"
"51341","72","221","-69.75","-54.25","1.851852"
"51342","72","222","-69.25","-54.25","2.472222"
"51343","72","223","-68.75","-54.25","4.126543"
"51344","72","224","-68.25","-54.25","9.953704"
"51345","72","225","-67.75","-54.25","3.253086"
"51346","72","226","-67.25","-54.25","5.867284"
"51347","72","227","-66.75","-54.25","1.978395"
"51348","72","228","-66.25","-54.25","0.08379889"
"51798","72","678","158.75","-54.25","0"
"52053","73","213","-73.75","-53.75","0.04320988"
"52054","73","214","-73.25","-53.75","0.2253086"
"52055","73","215","-72.75","-53.75","0.8148148"
"52056","73","216","-72.25","-53.75","2.842592"
"52057","73","217","-71.75","-53.75","3.466791"
"52058","73","218","-71.25","-53.75","3.799383"
"52059","73","219","-70.75","-53.75","1.62037"
"52060","73","220","-70.25","-53.75","0.4634745"
"52061","73","221","-69.75","-53.75","4.611111"
"52062","73","222","-69.25","-53.75","12.32099"
"52063","73","223","-68.75","-53.75","19.87963"
"52064","73","224","-68.25","-53.75","37.48457"
"52065","73","225","-67.75","-53.75","17.00309"
